日期,查询词,搜索uv,搜索pv,曝光uv,曝光pv,点击uv,点击pv,曝光点击率,买家数,订单数,成交额,预测行业
2020-04-08,蔡徐坤,485,1030,478,4006,80,109,2.72%,0,0,,文化玩乐
2020-04-08,仓鼠,79,112,0,0,0,0,,,,,文化玩乐
2020-04-08,蔡徐坤应援,66,129,66,492,8,12,2.44%,0,0,,文化玩乐
2020-04-08,蔡徐坤粉丝团官微,61,168,60,599,16,26,4.34%,0,0,,生活服务
2020-04-08,一只笨鼠,56,71,58,335,0,0,,,,,文化玩乐
2020-04-08,明星饭圈,45,153,45,375,3,4,1.07%,0,0,,百货食品
2020-04-08,蔡徐坤手幅套装,42,67,45,362,3,7,1.93%,0,0,,文化玩乐
2020-04-08,ELLE,39,57,39,252,0,0,,,,,服装鞋包
2020-04-08,蔡徐坤应援活动,38,85,36,259,0,0,,,,,文化玩乐
2020-04-08,蔡徐坤出道,38,83,37,294,4,5,1.70%,0,0,,文化玩乐
2020-04-08,王一博,37,90,37,297,8,19,6.40%,0,0,,文化玩乐
2020-04-08,不绿,37,61,38,257,0,0,,,,,美妆饰品
2020-04-08,蔡徐坤C位出道两周年,35,87,36,325,6,6,1.85%,0,0,,文化玩乐
2020-04-08,蔡徐坤c位出道,29,63,28,191,6,6,3.14%,0,0,,文化玩乐
2020-04-08,娃衣,29,70,32,606,7,28,4.62%,0,0,,文化玩乐
2020-04-08,仓鼠零食,29,41,0,0,0,0,,,,,文化玩乐
2020-04-08,TFBOYS,29,47,0,0,0,0,,,,,文化玩乐
2020-04-08,史莱姆,28,94,24,576,10,41,7.12%,0,0,,文化玩乐
2020-04-08,叶航成杂志,27,70,27,253,10,11,4.35%,0,0,,生活服务
2020-04-08,易烊千玺,26,36,26,158,1,1,0.63%,0,0,,手机数码
2020-04-08,蔡徐坤出道两周年,24,54,26,234,3,3,1.28%,0,0,,文化玩乐
2020-04-08,蔡徐坤c位出道两周年,24,64,25,204,8,8,3.92%,0,0,,文化玩乐
2020-04-08,吴石九,24,50,27,158,1,1,0.63%,0,0,,文化玩乐
2020-04-08,流量卡,24,43,24,164,6,6,3.66%,0,0,,游戏话费
2020-04-08,卫衣,22,63,19,706,3,28,3.97%,0,0,,服装鞋包
2020-04-08,蔡徐坤C位出道两周年应援,22,38,25,211,2,3,1.42%,0,0,,文化玩乐
2020-04-08,蔡徐坤C位出道,22,40,21,168,2,2,1.19%,0,0,,文化玩乐
2020-04-08,橙靓妹 slime,22,42,18,169,4,5,2.96%,0,0,,文化玩乐
2020-04-08,warma养鸡场,21,35,21,157,0,0,,,,,服装鞋包
2020-04-08,蔡徐坤应援物,21,38,22,150,4,6,4.00%,0,0,,文化玩乐
2020-04-08,蔡徐坤姐姐团,20,46,22,244,7,11,4.51%,0,0,,文化玩乐
2020-04-08,匡威,20,33,18,148,5,7,4.73%,0,0,,服装鞋包
2020-04-08,warma,20,68,19,232,15,29,12.50%,0,0,,文化玩乐
2020-04-08,叶航成,19,43,19,142,7,10,7.04%,1,1,6.00,文化玩乐
2020-04-08,赖冠霖,19,53,17,279,2,20,7.17%,0,0,,文化玩乐
2020-04-08,蔡徐坤c位出道两周年应援,19,48,19,130,5,9,6.92%,0,0,,文化玩乐
2020-04-08,slime,19,78,15,416,7,31,7.45%,0,0,,手机数码
2020-04-08,蜜桃的史莱姆小店,18,32,16,162,2,3,1.85%,0,0,,文化玩乐
2020-04-08,蔡徐坤应援金,18,32,20,167,2,2,1.20%,0,0,,文化玩乐
2020-04-08,刘耀文,18,29,20,161,1,1,0.62%,0,0,,生活服务
2020-04-08,星卡里,18,29,13,94,0,0,,,,,服装鞋包
2020-04-08,蔡徐坤C位出道2周年应援,18,49,18,174,4,5,2.87%,0,0,,文化玩乐
2020-04-08,第十一颗星星,18,26,17,102,1,1,0.98%,0,0,,文化玩乐
2020-04-08,蔡徐坤两周年,18,36,19,131,1,1,0.76%,0,0,,文化玩乐
