shop_id,shop_name,grade_type,grade_count,keyword,pt
348416041,Ayanda slime-史莱姆,3,2,ayanda_slime,2020-03-31
166326532,Cyoungslime C漾史莱姆,2,4,c.漾cyoungslime,2020-03-31
1396737930,凯文slime,2,5,chen凯文,2020-03-31
1396737930,凯文slime,2,5,chen凯文ing,2020-03-31
986237177,Cy.Slime,3,1,cy,2020-03-31
166326532,Cyoungslime C漾史莱姆,2,4,cyoungslime,2020-03-31
1328799118,大A的小口袋,2,5,da-a,2020-03-31
318228575,瓜瓜手工杂货铺,2,5,dimples瓜瓜,2020-03-31
1707348232,Mho栗原屋,2,2,double霜霜,2020-03-31
943501696,Emma手作馆,3,5,emmaslime,2020-03-31
943501696,Emma手作馆,3,5,emma手作,2020-03-31
943501696,Emma手作馆,3,5,emma手作官,2020-03-31
943501696,Emma手作馆,3,5,emma手作管,2020-03-31
943501696,Emma手作馆,3,5,emma手做管,2020-03-31
943501696,Emma手作馆,3,5,emma手做馆,2020-03-31
943501696,Emma手作馆,3,5,emma手工馆,2020-03-31
943501696,Emma手作馆,3,5,emme手作馆,2020-03-31
943501696,Emma手作馆,3,5,emmma手作馆,2020-03-31
943501696,Emma手作馆,3,5,emmm手作馆,2020-03-31
943501696,Emma手作馆,3,5,emm手作馆,2020-03-31
1394965708,JC史萊姆,2,2,jc史莱姆,2020-03-31
1232512431,妹妹slime小屋,3,1,jiang妹妹,2020-03-31
1406405810,jiayin slime,2,4,jiayin,2020-03-31
1346353827,淇淇史莱姆百货,2,1,k1k1.slime,2020-03-31
1721054480,KNslime史莱姆,2,1,kn_slime 10w,2020-03-31
1333965375,MAGICMSLIME,3,5,magicmslimem,2020-03-31
1779049520,miayiy slime,2,3,miayiy,2020-03-31
1770216480,NEXTSLIME,3,1,next slime,2020-03-31
1319827631,不要拿走我的画笔,2,4,pgslime.com,2020-03-31
1377241533,popowi,2,5,popowi.slime,2020-03-31
1385098222,格格slime铺子,3,3,princess格格,2020-03-31
1316050656,若与猫slime,2,5,ruoyumao若与猫,2020-03-31
1350197432,魚史莱姆贩卖,2,3,sg slime,2020-03-31
1291925686,蔡小胖史莱姆,2,3,slime-xp,2020-03-31
1227797074,吃糖slime,2,1,slime.吃糖,2020-03-31
1336197152,小陈的杂货铺,2,1,small-c ovo,2020-03-31
1368095427,Totoro Box 龙猫格仔店,3,1,totoro.slime,2020-03-31
1368095427,Totoro Box 龙猫格仔店,3,1,totoro.slime.shop,2020-03-31
374969933,菲菲姐姐的手工杂货铺,3,2,xufei手作,2020-03-31
1830759488,十三院,2,1,yh's_slime,2020-03-31
1155471485,羽生惠子slime,2,3,yuzuru-惠子,2020-03-31
1390851631,yyy.slime,2,5,yyy slime,2020-03-31
1266334106,卡斯的秘密花园✨,2,4,一只小卡斯呀,2020-03-31
1320981456,七月的史莱姆,3,2,七月slime,2020-03-31
1753251104,元气丸子🍡史莱姆杂货铺,2,4,丸子表妹,2020-03-31
1309814056,乐基儿shop,2,5,乐基儿slime,2020-03-31
888710401,毛怪的乐多,2,1,乐多和毛怪,2020-03-31
1346757329,九思酱史莱姆,2,2,九思酱slime,2020-03-31
1346757329,九思酱史莱姆,2,2,九思酱本酱,2020-03-31
863748225,珂玥的史莱姆,2,4,二姑slime,2020-03-31
1376254547,五个六的slime,3,2,五个六,2020-03-31
1376254547,五个六的slime,3,2,五个六（25w）,2020-03-31
1681672336,仓仓的泥巴屋,2,1,仓仓er,2020-03-31
1315944551,兔男的萝卜田٩(˃̶͈̀௰˂̶͈́)و🥕,2,2,佐野の兔男,2020-03-31
1361891553,佑夜的slime,2,2,佑夜slime,2020-03-31
1321861808,佳佳大仙slime,3,2,佳佳大仙女,2020-03-31
1340753606,冯大楠🔆,2,3,冯大楠,2020-03-31
209837582,冰琪欧尼的杂货铺,3,2,冰琪ice slime,2020-03-31
723284448,彤老大slime,3,2,单身富婆彤老大,2020-03-31
1729675584,大魔王格仔铺,2,5,口喜榕仔,2020-03-31
1642575664,钟离雨落,2,2,叶芷slime,2020-03-31
160642042,后妈slime,2,2,后 媽 ʕ·͡ˑ·ཻʔ,2020-03-31
1386764196,妙瞳slime,3,3,吴厌祖賣泥请认准双冠店,2020-03-31
1749268000,甜筒妙妙屋,2,3,和彤彤恋爱吧,2020-03-31
1383419365,肥肥的猪猪屋^o^,2,3,咕噜咕噜猪猪肥,2020-03-31
1207230669,哇塞小霜,2,3,哇塞霜宝,2020-03-31
976024583,啊琪slime shop,3,1,啊琪琪琪,2020-03-31
976024583,啊琪slime shop,3,1,啊琪要上天,2020-03-31
1377563702,土豆slime小铺,2,5,啵哒惰土豆豆,2020-03-31
1396418882,啵啵虎史莱姆贩卖铺,2,1,啵啵虎slime格仔铺,2020-03-31
1406405810,jiayin slime,2,4,嘉音,2020-03-31
1406405810,jiayin slime,2,4,嘉音jiayin,2020-03-31
